Gene start,Gene end,Strand,Gene name,Accnum,Product,Accession
190,255,1,T_RS00005,WP_001575544.1,thr operon leader peptide,NC_004631.1
337,2799,1,T_RS00010,WP_001264731.1,bifunctional aspartate kinase/homoserine dehydrogenase I,NC_004631.1
2801,3730,1,T_RS00015,WP_000241685.1,homoserine kinase,NC_004631.1
3734,5020,1,T_RS00020,WP_000781103.1,threonine synthase,NC_004631.1
5114,5887,-1,T_RS00025,WP_000906171.1,peroxide stress protein YaaA,NC_004631.1
5966,7396,-1,T_RS00030,WP_001113816.1,sodium:alanine symporter family protein,NC_004631.1
7665,8618,1,T_RS00035,WP_000130175.1,transaldolase,NC_004631.1
8729,9319,1,T_RS00040,WP_001094677.1,molybdopterin adenylyltransferase,NC_004631.1
9376,9942,-1,T_RS00045,WP_000528527.1,acetate uptake transporter,NC_004631.1
10092,10805,-1,T_RS00050,WP_001103477.1,acidic protein MsyB,NC_004631.1
10841,11245,-1,T_RS00055,WP_001258093.1,DUF2541 family protein,NC_004631.1
11594,13510,1,T_RS00060,WP_000516126.1,molecular chaperone DnaK,NC_004631.1
13596,14735,1,T_RS00065,WP_001119009.1,molecular chaperone DnaJ,NC_004631.1
15020,15967,1,T_RS00070,WP_000534904.1,LysR family transcriptional regulator,NC_004631.1
16094,16438,1,T_RS00075,WP_000026890.1,phage holin family protein,NC_004631.1
16499,17032,-1,T_RS00080,WP_001068133.1,glycoside hydrolase family 108 protein,NC_004631.1
17049,17492,-1,T_RS00085,WP_000860681.1,transcriptional regulator,NC_004631.1
17873,19972,1,T_RS00090,WP_000235792.1,glycosyl hydrolase family 18 protein,NC_004631.1
20064,23060,1,T_RS00095,NA,chitinase,NC_004631.1
23341,24045,1,T_RS00100,WP_000738610.1,winged helix-turn-helix transcriptional regulator,NC_004631.1
24473,25015,1,T_RS00105,WP_000743355.1,fimbrial protein BcfA,NC_004631.1
25116,25802,1,T_RS00110,WP_000742560.1,fimbrial biogenesis chaperone BcfB,NC_004631.1
